---,x,y
306,"16.120001","5.000000"
307,"16.139999","10.000000"
308,"16.160000","10.000000"
309,"16.180000","10.000000"
310,"16.200001","5.000000"
311,"16.219999","20.000000"
312,"16.240000","10.000000"
313,"16.260000","1.000000"
314,"16.280001","5.000000"
315,"16.299999","5.000000"
316,"16.320000","10.000000"
317,"16.340000","5.000000"
318,"16.360001","10.000000"
319,"16.379999","15.000000"
320,"16.400000","10.000000"
321,"16.420000","10.000000"
322,"16.440001","5.000000"
323,"16.459999","5.000000"
324,"16.480000","5.000000"
325,"16.500000","15.000000"
326,"16.520000","15.000000"
327,"16.540001","10.000000"
328,"16.559999","10.000000"
329,"16.580000","5.000000"
330,"16.600000","10.000000"
331,"16.620001","1.000000"
332,"16.639999","10.000000"
333,"16.660000","5.000000"
334,"16.680000","5.000000"
335,"16.700001","20.000000"
336,"16.719999","10.000000"
337,"16.740000","10.000000"
338,"16.760000","1.000000"
339,"16.780001","10.000000"
340,"16.799999","20.000000"
341,"16.820000","1.000000"
342,"16.840000","1.000000"
343,"16.860001","10.000000"
344,"16.879999","20.000000"
345,"16.900000","5.000000"
346,"16.920000","5.000000"
347,"16.940001","10.000000"
348,"16.959999","10.000000"
349,"16.980000","5.000000"
350,"17.000000","20.000000"
351,"17.020000","20.000000"
352,"17.040001","5.000000"
353,"17.059999","10.000000"
354,"17.080000","5.000000"
355,"17.100000","10.000000"
356,"17.120001","20.000000"
357,"17.139999","5.000000"
358,"17.160000","10.000000"
359,"17.180000","1.000000"
360,"17.200001","5.000000"
361,"17.219999","5.000000"
362,"17.240000","5.000000"
363,"17.260000","15.000000"
364,"17.280001","5.000000"
365,"17.299999","10.000000"
366,"17.320000","10.000000"
367,"17.340000","10.000000"
368,"17.360001","5.000000"
369,"17.379999","15.000000"
370,"17.400000","5.000000"
371,"17.420000","10.000000"
372,"17.440001","10.000000"
373,"17.459999","5.000000"
374,"17.480000","10.000000"
375,"17.500000","5.000000"
376,"17.520000","5.000000"
377,"17.540001","1.000000"
378,"17.559999","5.000000"
379,"17.580000","1.000000"
380,"17.600000","15.000000"
381,"17.620001","1.000000"
382,"17.639999","5.000000"
383,"17.660000","5.000000"
384,"17.680000","10.000000"
385,"17.700001","5.000000"
386,"17.719999","5.000000"
387,"17.740000","15.000000"
388,"17.760000","10.000000"
389,"17.780001","15.000000"
390,"17.799999","20.000000"
391,"17.820000","5.000000"
392,"17.840000","1.000000"
393,"17.860001","20.000000"
394,"17.879999","10.000000"
395,"17.900000","15.000000"
396,"17.920000","5.000000"
397,"17.940001","5.000000"
398,"17.959999","5.000000"
399,"17.980000","5.000000"
400,"18.000000","5.000000"
401,"18.020000","15.000000"
402,"18.040001","5.000000"
403,"18.059999","15.000000"
404,"18.080000","15.000000"
405,"18.100000","15.000000"
406,"18.120001","10.000000"
407,"18.139999","10.000000"
408,"18.160000","5.000000"
409,"18.180000","5.000000"
410,"18.200001","10.000000"
411,"18.219999","10.000000"
412,"18.240000","10.000000"
413,"18.260000","10.000000"
414,"18.280001","10.000000"
415,"18.299999","5.000000"
416,"18.320000","5.000000"
417,"18.340000","10.000000"
418,"18.360001","10.000000"
419,"18.379999","5.000000"
420,"18.400000","20.000000"
421,"18.420000","5.000000"
422,"18.440001","15.000000"
423,"18.459999","10.000000"
424,"18.480000","10.000000"
425,"18.500000","10.000000"
426,"18.520000","10.000000"
427,"18.540001","5.000000"
428,"18.559999","10.000000"
429,"18.580000","1.000000"
430,"18.600000","15.000000"
431,"18.620001","5.000000"
432,"18.639999","15.000000"
433,"18.660000","1.000000"
434,"18.680000","10.000000"
435,"18.700001","15.000000"
436,"18.719999","15.000000"
437,"18.740000","25.000000"
438,"18.760000","15.000000"
439,"18.780001","10.000000"
440,"18.799999","15.000000"
441,"18.820000","10.000000"
442,"18.840000","15.000000"
443,"18.860001","10.000000"
444,"18.879999","5.000000"
445,"18.900000","20.000000"
446,"18.920000","5.000000"
447,"18.940001","5.000000"
448,"18.959999","5.000000"
449,"18.980000","10.000000"
450,"19.000000","10.000000"
451,"19.020000","5.000000"
452,"19.040001","15.000000"
453,"19.059999","5.000000"
454,"19.080000","10.000000"
455,"19.100000","5.000000"
456,"19.120001","10.000000"
457,"19.139999","10.000000"
458,"19.160000","10.000000"
459,"19.180000","10.000000"
460,"19.200001","5.000000"
461,"19.219999","5.000000"
462,"19.240000","1.000000"
463,"19.260000","15.000000"
464,"19.280001","5.000000"
465,"19.299999","10.000000"
466,"19.320000","1.000000"
467,"19.340000","5.000000"
468,"19.360001","15.000000"
469,"19.379999","10.000000"
470,"19.400000","15.000000"
471,"19.420000","5.000000"
472,"19.440001","5.000000"
473,"19.459999","5.000000"
474,"19.480000","1.000000"
475,"19.500000","10.000000"
476,"19.520000","1.000000"
477,"19.540001","5.000000"
478,"19.559999","1.000000"
479,"19.580000","1.000000"
480,"19.600000","5.000000"
481,"19.620001","15.000000"
482,"19.639999","1.000000"
483,"19.660000","10.000000"
484,"19.680000","1.000000"
485,"19.700001","5.000000"
486,"19.719999","5.000000"
487,"19.740000","15.000000"
488,"19.760000","10.000000"
489,"19.780001","5.000000"
490,"19.799999","5.000000"
491,"19.820000","10.000000"
492,"19.840000","10.000000"
493,"19.860001","1.000000"
494,"19.879999","5.000000"
495,"19.900000","15.000000"
496,"19.920000","5.000000"
497,"19.940001","10.000000"
498,"19.959999","5.000000"
499,"19.980000","5.000000"
500,"20.000000","5.000000"
501,"20.020000","10.000000"
502,"20.040001","1.000000"
503,"20.059999","10.000000"
504,"20.080000","1.000000"
505,"20.100000","1.000000"
506,"20.120001","10.000000"
507,"20.139999","15.000000"
508,"20.160000","5.000000"
509,"20.180000","10.000000"
510,"20.200001","10.000000"
511,"20.219999","5.000000"
512,"20.240000","5.000000"
513,"20.260000","1.000000"
514,"20.280001","15.000000"
515,"20.299999","1.000000"
516,"20.320000","5.000000"
517,"20.340000","5.000000"
518,"20.360001","10.000000"
